INVESTMENT SCREENING CRITERIA,
,
,
INVESTABLE REQUIREMENTS (ALL must be met):,
1. Positive Absolute FCF,Company must generate positive free cash flow
2. Growing Markets,Must operate in markets with secular growth tailwinds
3. Not in Cyclical Decline,Avoid sunset industries and structural decline
4. Sustainable Competitive Advantage,Economic moat that compounds over time
5. FCF Stability/Growth,"Consistent FCF over 3+ years, preferably growing"
6. Reasonable Debt,"Interest coverage >3x, manageable leverage"
,
AUTOMATIC AVOID TRIGGERS (ANY ONE disqualifies):,
1. Negative FCF 2+ Years,Cash burn indicates capital destruction
2. Shrinking/Declining Market,"No tailwind, fighting secular trends"
3. Technology Disruption,Business model being disrupted by AI/tech
4. Zombie Company Indicators,"High debt, low coverage, Altman Z <1.8"
5. Shareholder Value Destruction,"History of dilution, bad acquisitions"
6. Management/Accounting Concerns,"Fraud, restatements, governance issues"
7. Structural Decline,Core business in terminal decline
8. Pre-Revenue/Clinical Stage,"Years from profitability, binary risk"
9. VIE/Regulatory Structure Risk,"China ADRs with VIE, cannabis federal"
10. Meme/Speculative,"No business fundamentals, speculation"
,
THE MATH:,
Global Public Universe,"~58,000 companies"
After Positive FCF Filter,"~15,000 (25%)"
After Growing Markets,"~5,000 (8%)"
After No Decline Filter,"~2,500 (4%)"
After Quality/Moat Screen,~800 (1.4%)
INVESTABLE UNIVERSE,~150 (0.26%)
ACES OF ACES (Core),27-50 (0.05%)
AVOID LIST,"~57,850 (99.7%)"

